,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,realistic_blue,blue_excel_early,blue_excel_late,blue_excel_general,TFearly,TFlate,ChampFam,participant_id
10,98,Ryze,0.00281886,62,Lee Sin,0.101489841,130,Vel'Koz,0.005605598,65,Lucian,0.040703463,50,Karma,0.013930991,2,0.82,0.69,0.54,,,0,20
11,98,Ryze,0.00281886,62,Lee Sin,0.101489841,130,Vel'Koz,0.005605598,65,Lucian,0.040703463,50,Karma,0.013930991,2,0.82,0.69,0.54,TRUE,TRUE,0,20
12,121,Trundle,0.001650021,62,Lee Sin,0.101489841,112,Sylas,0.018578414,107,Sivir,0.007952506,119,Thresh,0.078762366,2,,,,,,5,20
13,121,Trundle,0.001650021,62,Lee Sin,0.101489841,112,Sylas,0.018578414,107,Sivir,0.007952506,119,Thresh,0.078762366,2,0.33,0.59,0.67,,,5,20
14,121,Trundle,0.001650021,62,Lee Sin,0.101489841,112,Sylas,0.018578414,107,Sivir,0.007952506,119,Thresh,0.078762366,2,0.33,0.59,0.67,TRUE,TRUE,5,20
15,68,Malphite,0.010422354,36,Graves,0.019446324,84,Orianna,0.01008676,124,Twitch,0.004954702,11,Bard,0.019011544,3,,,,,,0,20
16,68,Malphite,0.010422354,36,Graves,0.019446324,84,Orianna,0.01008676,124,Twitch,0.004954702,11,Bard,0.019011544,3,0.29,0.5,0.57,,,0,20
17,68,Malphite,0.010422354,36,Graves,0.019446324,84,Orianna,0.01008676,124,Twitch,0.004954702,11,Bard,0.019011544,3,0.29,0.5,0.57,TRUE,TRUE,0,20
18,85,Ornn,0.019384113,24,Ekko,0.036034711,89,Qiyana,0.008491598,27,Ezreal,0.087241988,146,Zilean,0.008817837,1,,,,,,5,20
19,85,Ornn,0.019384113,24,Ekko,0.036034711,89,Qiyana,0.008491598,27,Ezreal,0.087241988,146,Zilean,0.008817837,1,0.16,0.52,0.63,,,5,20
20,85,Ornn,0.019384113,24,Ekko,0.036034711,89,Qiyana,0.008491598,27,Ezreal,0.087241988,146,Zilean,0.008817837,1,0.16,0.52,0.63,TRUE,TRUE,5,20
21,33,Garen,0.03438593,80,Nidalee,0.01092913,31,Galio,0.003183418,48,Kai'Sa,0.054491897,76,Nami,0.037765663,2,,,,,,2,20
22,33,Garen,0.03438593,80,Nidalee,0.01092913,31,Galio,0.003183418,48,Kai'Sa,0.054491897,76,Nami,0.037765663,2,0.19,0.63,0.99,,,2,20
23,33,Garen,0.03438593,80,Nidalee,0.01092913,31,Galio,0.003183418,48,Kai'Sa,0.054491897,76,Nami,0.037765663,2,0.19,0.63,0.99,TRUE,TRUE,2,20
24,101,Sett,0.025955061,55,Kayn,0.027134776,113,Syndra,0.013461421,27,Ezreal,0.087241988,75,Morgana,0.027595894,2,,,,,,0,20
25,101,Sett,0.025955061,55,Kayn,0.027134776,113,Syndra,0.013461421,27,Ezreal,0.087241988,75,Morgana,0.027595894,2,0.22,0.26,0.25,,,0,20
26,101,Sett,0.025955061,55,Kayn,0.027134776,113,Syndra,0.013461421,27,Ezreal,0.087241988,75,Morgana,0.027595894,2,0.22,0.26,0.25,TRUE,TRUE,0,20
27,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,2,,,,,,0,20
28,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,2,0.43,0.51,0.5,,,0,20
29,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,2,0.43,0.51,0.5,TRUE,TRUE,0,20
30,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,,,,,,0,20
31,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,0.32,0.42,0.49,,,0,20
32,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,0.32,0.42,0.49,TRUE,TRUE,0,20
33,112,Sylas,0.006320927,35,Gragas,0.013754588,1,Ahri,0.014699675,127,Varus,0.012357191,76,Nami,0.037765663,3,,,,,,1,20
34,112,Sylas,0.006320927,35,Gragas,0.013754588,1,Ahri,0.014699675,127,Varus,0.012357191,76,Nami,0.037765663,3,0.3,0.63,0.79,,,1,20
35,112,Sylas,0.006320927,35,Gragas,0.013754588,1,Ahri,0.014699675,127,Varus,0.012357191,76,Nami,0.037765663,3,0.3,0.63,0.79,TRUE,FALSE,1,20
36,90,Quinn,0.002506171,72,Master Yi,0.02992052,17,Cassiopeia,0.009697575,47,Jinx,0.023751141,12,Blitzcrank,0.033702773,3,,,,,,1,20
37,90,Quinn,0.002506171,72,Master Yi,0.02992052,17,Cassiopeia,0.009697575,47,Jinx,0.023751141,12,Blitzcrank,0.033702773,3,0.14,0.38,0.46,,,1,20
38,90,Quinn,0.002506171,72,Master Yi,0.02992052,17,Cassiopeia,0.009697575,47,Jinx,0.023751141,12,Blitzcrank,0.033702773,3,0.14,0.38,0.46,TRUE,TRUE,1,20
39,2,Akali,0.002506171,62,Lee Sin,0.101489841,133,Vladimir,0.012878283,49,Kalista,0.009366044,142,Yuumi,0.047117178,4,,,,,,4,20
40,2,Akali,0.002506171,62,Lee Sin,0.101489841,133,Vladimir,0.012878283,49,Kalista,0.009366044,142,Yuumi,0.047117178,4,0.4,0.53,0.54,,,4,20
41,2,Akali,0.002506171,62,Lee Sin,0.101489841,133,Vladimir,0.012878283,49,Kalista,0.009366044,142,Yuumi,0.047117178,4,0.4,0.53,0.54,TRUE,TRUE,4,20
42,70,Maokai,0.008329253,92,Rammus,0.009146101,89,Qiyana,0.008491598,128,Vayne,0.038461798,63,Leona,0.037140964,3,,,,,,0,20
43,70,Maokai,0.008329253,92,Rammus,0.009146101,89,Qiyana,0.008491598,128,Vayne,0.038461798,63,Leona,0.037140964,3,0.24,0.77,0.48,,,0,20
44,70,Maokai,0.008329253,92,Rammus,0.009146101,89,Qiyana,0.008491598,128,Vayne,0.038461798,63,Leona,0.037140964,3,0.24,0.77,0.48,FALSE,FALSE,0,20
45,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,1,,,,,,2,20
46,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,1,0.36,0.55,0.65,,,2,20
47,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,1,0.36,0.55,0.65,TRUE,TRUE,2,20
48,68,Malphite,0.010422354,99,Sejuani,0.016076073,30,Fizz,0.014878033,27,Ezreal,0.087241988,63,Leona,0.037140964,3,,,,,,2,20
49,68,Malphite,0.010422354,99,Sejuani,0.016076073,30,Fizz,0.014878033,27,Ezreal,0.087241988,63,Leona,0.037140964,3,0.16,0.17,0.27,,,2,20
50,68,Malphite,0.010422354,99,Sejuani,0.016076073,30,Fizz,0.014878033,27,Ezreal,0.087241988,63,Leona,0.037140964,3,0.16,0.17,0.27,TRUE,TRUE,2,20
51,122,Tryndamere,0.008545828,43,Jarvan IV,0.034591321,140,Yasuo,0.027926053,128,Vayne,0.038461798,63,Leona,0.037140964,1,,,,,,1,20
52,122,Tryndamere,0.008545828,43,Jarvan IV,0.034591321,140,Yasuo,0.027926053,128,Vayne,0.038461798,63,Leona,0.037140964,1,0.14,0.49,0.7,,,1,20
53,122,Tryndamere,0.008545828,43,Jarvan IV,0.034591321,140,Yasuo,0.027926053,128,Vayne,0.038461798,63,Leona,0.037140964,1,0.14,0.49,0.7,TRUE,TRUE,1,20
54,101,Sett,0.025955061,82,Nunu,0.008927036,144,Zed,0.020949202,15,Caitlyn,0.057982788,66,Lulu,0.029720048,4,,,,,,0,20
55,101,Sett,0.025955061,82,Nunu,0.008927036,144,Zed,0.020949202,15,Caitlyn,0.057982788,66,Lulu,0.029720048,4,0.84,0.84,0.89,,,0,20
56,101,Sett,0.025955061,82,Nunu,0.008927036,144,Zed,0.020949202,15,Caitlyn,0.057982788,66,Lulu,0.029720048,4,0.84,0.84,0.89,FALSE,FALSE,0,20
57,70,Maokai,0.008329253,43,Jarvan IV,0.034591321,24,Ekko,0.011269181,73,Miss Fortune,0.060379907,119,Thresh,0.078762366,2,,,,,,3,20
58,70,Maokai,0.008329253,43,Jarvan IV,0.034591321,24,Ekko,0.011269181,73,Miss Fortune,0.060379907,119,Thresh,0.078762366,2,0.17,0.16,0.13,,,3,20
59,70,Maokai,0.008329253,43,Jarvan IV,0.034591321,24,Ekko,0.011269181,73,Miss Fortune,0.060379907,119,Thresh,0.078762366,2,0.17,0.16,0.13,TRUE,TRUE,3,20
0,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,,,,,,5,21
1,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,0.68,0.72,0.73,,,5,21
2,95,Rengar,0.00241798,80,Nidalee,0.01092913,79,Neeko,0.004954702,46,Jhin,0.03707166,42,Janna,0.022342847,3,0.68,0.72,0.73,FALSE,TRUE,5,21
3,29,Fiora,0.016196719,134,Volibear,0.004609928,2,Akali,0.004561016,128,Vayne,0.038461798,111,Swain,0.008600116,3,,,,,,5,21
4,29,Fiora,0.016196719,134,Volibear,0.004609928,2,Akali,0.004561016,128,Vayne,0.038461798,111,Swain,0.008600116,3,0.26,0.99,0.87,,,5,21
5,29,Fiora,0.016196719,134,Volibear,0.004609928,2,Akali,0.004561016,128,Vayne,0.038461798,111,Swain,0.008600116,3,0.26,0.99,0.87,FALSE,TRUE,5,21
6,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,,,,,,5,21
7,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,0.24,0.77,0.69,,,5,21
8,85,Ornn,0.019384113,25,Elise,0.034180743,81,Nocturne,0.001942832,65,Lucian,0.040703463,11,Bard,0.019011544,3,0.24,0.77,0.69,FALSE,TRUE,5,21
9,94,Renekton,0.01481854,62,Lee Sin,0.101489841,5,Anivia,0.00431778,47,Jinx,0.023751141,101,Sett,0.00505396,4,,,,,,5,21
10,94,Renekton,0.01481854,62,Lee Sin,0.101489841,5,Anivia,0.00431778,47,Jinx,0.023751141,101,Sett,0.00505396,4,0.58,0.79,0.99,,,5,21
11,94,Renekton,0.01481854,62,Lee Sin,0.101489841,5,Anivia,0.00431778,47,Jinx,0.023751141,101,Sett,0.00505396,4,0.58,0.79,0.99,FALSE,TRUE,5,21
12,34,Gnar,0.005656213,25,Elise,0.034180743,112,Sylas,0.018578414,23,Draven,0.009310977,14,Braum,0.013169314,4,,,,,,5,21
13,34,Gnar,0.005656213,25,Elise,0.034180743,112,Sylas,0.018578414,23,Draven,0.009310977,14,Braum,0.013169314,4,0.36,0.98,0.82,,,5,21
14,34,Gnar,0.005656213,25,Elise,0.034180743,112,Sylas,0.018578414,23,Draven,0.009310977,14,Braum,0.013169314,4,0.36,0.98,0.82,FALSE,TRUE,5,21
15,96,Riven,0.008491598,62,Lee Sin,0.101489841,18,Cho'Gath,0.001567868,65,Lucian,0.040703463,119,Thresh,0.078762366,2,,,,,,5,21
16,96,Riven,0.008491598,62,Lee Sin,0.101489841,18,Cho'Gath,0.001567868,65,Lucian,0.040703463,119,Thresh,0.078762366,2,0.36,0.96,0.79,,,5,21
17,96,Riven,0.008491598,62,Lee Sin,0.101489841,18,Cho'Gath,0.001567868,65,Lucian,0.040703463,119,Thresh,0.078762366,2,0.36,0.96,0.79,FALSE,TRUE,5,21
18,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,3,,,,,,5,21
19,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,3,0.29,0.83,0.78,,,5,21
20,85,Ornn,0.019384113,143,Zac,0.038810658,61,LeBlanc,0.016802183,7,Aphelios,0.029853671,66,Lulu,0.029720048,3,0.29,0.83,0.78,FALSE,TRUE,5,21
21,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,4,,,,,,5,21
22,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,4,0.49,0.62,0.59,,,5,21
23,20,Darius,0.027266392,121,Trundle,0.01075976,138,Xerath,0.005103712,27,Ezreal,0.087241988,66,Lulu,0.029720048,4,0.49,0.62,0.59,FALSE,TRUE,5,21
24,122,Tryndamere,0.008545828,121,Trundle,0.01075976,30,Fizz,0.014878033,15,Caitlyn,0.057982788,76,Nami,0.037765663,4,,,,,,5,21
25,122,Tryndamere,0.008545828,121,Trundle,0.01075976,30,Fizz,0.014878033,15,Caitlyn,0.057982788,76,Nami,0.037765663,4,0.5,0.79,0.73,,,5,21
26,122,Tryndamere,0.008545828,121,Trundle,0.01075976,30,Fizz,0.014878033,15,Caitlyn,0.057982788,76,Nami,0.037765663,4,0.5,0.79,0.73,FALSE,TRUE,5,21
27,20,Darius,0.027266392,43,Jarvan IV,0.034591321,31,Galio,0.003183418,27,Ezreal,0.087241988,119,Thresh,0.078762366,3,,,,,,5,21
28,20,Darius,0.027266392,43,Jarvan IV,0.034591321,31,Galio,0.003183418,27,Ezreal,0.087241988,119,Thresh,0.078762366,3,0.72,0.82,0.74,,,5,21
29,20,Darius,0.027266392,43,Jarvan IV,0.034591321,31,Galio,0.003183418,27,Ezreal,0.087241988,119,Thresh,0.078762366,3,0.72,0.82,0.74,FALSE,TRUE,5,21
30,141,Yorick,0.003743418,131,Vi,0.011382915,61,LeBlanc,0.016802183,46,Jhin,0.03707166,67,Lux,0.019633158,4,,,,,,5,21
31,141,Yorick,0.003743418,131,Vi,0.011382915,61,LeBlanc,0.016802183,46,Jhin,0.03707166,67,Lux,0.019633158,4,1,0.97,0.99,,,5,21
32,141,Yorick,0.003743418,131,Vi,0.011382915,61,LeBlanc,0.016802183,46,Jhin,0.03707166,67,Lux,0.019633158,4,0.9,0.97,0.99,TRUE,TRUE,5,21
33,20,Darius,0.027266392,104,Shyvana,0.012588344,24,Ekko,0.011269181,65,Lucian,0.040703463,76,Nami,0.037765663,4,,,,,,5,21
